test_subject,train_samples,test_samples,train_stress,train_nonstress,test_stress,test_nonstress,removed_test_rows,accuracy,f1_stress,auc_stress,tp_stress,fn_stress,fp_stress,tn_stress
S2,524,35,143,381,9,26,0,1.0,1.0,1.0,9,0,0,26
S3,523,36,142,381,10,26,0,1.0,1.0,1.0,10,0,0,26
S4,523,36,143,380,9,27,0,1.0,1.0,1.0,9,0,0,27
S5,522,37,143,379,9,28,0,1.0,1.0,1.0,9,0,0,28
S6,522,37,142,380,10,27,0,1.0,1.0,1.0,10,0,0,27
S7,523,36,143,380,9,27,0,1.0,1.0,1.0,9,0,0,27
S8,521,38,141,380,11,27,0,1.0,1.0,1.0,11,0,0,27
S9,523,36,143,380,9,27,0,0.9444444444444444,0.875,1.0,7,2,0,27
S10,520,39,140,380,12,27,0,0.38461538461538464,0.5,1.0,12,0,24,3
S11,520,39,141,379,11,28,0,1.0,1.0,1.0,11,0,0,28
S13,521,38,142,379,10,28,0,0.9473684210526315,0.9090909090909091,1.0,10,0,2,26
S14,521,38,142,379,10,28,0,0.8421052631578947,0.5714285714285714,0.9821428571428572,4,6,0,28
S15,521,38,141,380,11,27,0,0.7631578947368421,0.3076923076923077,1.0,2,9,0,27
S16,522,37,142,380,10,27,0,1.0,1.0,1.0,10,0,0,27
S17,520,39,140,380,12,27,0,1.0,1.0,1.0,12,0,0,27
